IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
185.65.151.81,185.94.108.80,443,3.46,BR,IAD,32.12,41.76
40.233.77.216,2603:c021:5:8c88::825,443,232.02,CA,YYZ,16.49,23.49
140.238.144.211,2603:c021:4:9a88::1022,443,229.96,CA,YYZ,18.01,24.29
72.11.146.199,72.11.146.199,443,65.94,CA,YYZ,25.61,27.43
40.233.87.120,2603:c021:4:9a88::1016,443,26.07,CA,YYZ,18.95,24.78
40.233.71.238,2603:c021:5:8c88::1006,443,8.86,CA,YYZ,16.64,23.39
179.255.184.6,179.255.184.6,443,6.55,CA,YYZ,34.71,45.62
40.233.99.248,2603:c021:4:9a88::1020,443,5.84,CA,YYZ,16.65,24.31
159.203.2.180,159.203.2.180,443,3.79,CA,YYZ,26.18,33.65
72.11.145.117,72.11.145.117,443,3.07,CA,YYZ,24.15,63.61
45.133.16.41,45.133.16.41,443,2.53,CA,YYZ,20.31,43.77
167.160.188.156,167.160.188.156,443,2.52,CA,YYZ,29.16,48.02
40.233.103.212,2603:c021:5:8c88::1008,443,1.6,CA,YYZ,15.59,22.28
167.160.190.137,167.160.190.137,443,1.54,CA,YYZ,42.63,58.67
68.233.122.42,68.233.122.42,443,1.54,CA,ORD,15.38,61.27
172.98.207.58,172.98.207.6,443,1.11,CA,YYZ,28.87,31.73
146.70.71.157,146.70.71.157,443,9.11,CH,FRA,105.16,120.53
82.38.135.128,82.38.135.128,443,7.58,CH,ZRH,101.4,143.45
185.218.204.205,185.218.204.205,443,6.35,CH,ZRH,103.25,107.65
140.238.209.8,140.238.209.8,443,5.41,CH,ZRH,96.64,106.94
82.38.64.162,82.38.64.162,443,2.88,CH,ZRH,112.57,119.43
83.228.193.177,83.228.193.177,8443,2.55,CH,GVA,101.02,100.7
83.228.193.229,83.228.193.229,443,2.38,CH,GVA,97.22,117.25
194.156.102.142,194.156.102.142,443,2.34,CH,ZRH,236.82,278.57
87.120.222.172,87.120.222.172,443,1.87,CH,ZRH,189.92,200.45
87.120.222.26,87.120.222.26,443,1.8,CH,ZRH,188.27,202.88
91.245.225.17,91.245.225.17,443,1.65,CH,ZRH,104.59,108.69
83.228.193.177,83.228.193.177,443,1.55,CH,GVA,97.38,107.22
82.22.36.103,82.22.36.103,443,1.53,CH,ZRH,100.18,129.66
167.17.181.45,167.17.181.45,443,1.43,CH,ZRH,207.76,206.32
83.228.193.229,83.228.193.229,8443,1.41,CH,GVA,106.35,106.44
87.120.222.188,87.120.222.188,443,1.38,CH,ZRH,201.82,208.02
83.228.198.53,83.228.198.53,8443,1.3,CH,GVA,96.01,110.42
83.228.193.162,83.228.193.162,443,1.26,CH,GVA,97.16,102.51
45.59.123.140,45.59.123.140,443,1.24,CH,ZRH,97.98,111.38
87.120.222.125,87.120.222.125,443,1.24,CH,ZRH,201.25,223.72
84.234.17.132,84.234.17.132,8443,1.19,CH,GVA,96.27,121.68
87.120.222.168,87.120.222.168,443,1.16,CH,ZRH,190.68,196.41
213.176.18.42,213.176.18.42,443,1.12,CH,ZRH,213.06,239.35
45.143.200.135,45.143.200.135,443,1.08,CH,ZRH,202.44,215.81
171.22.16.237,171.22.16.237,443,1.05,CH,ZRH,190.62,197.45
171.22.16.201,171.22.16.201,443,1.02,CH,ZRH,186.27,192.09
43.168.16.112,43.174.70.59,443,1.26,CN,HKG,211.45,213.35
43.169.18.179,43.152.184.245,443,5.11,CO,BOG,93.61,102.99
144.31.72.69,144.31.72.69,443,15.91,DE,FRA,190.55,328.45
78.17.131.179,78.17.131.179,443,15.31,DE,FRA,132.78,140.28
104.248.17.101,104.248.17.101,443,12.55,DE,FRA,123.93,122.07
168.119.176.199,168.119.176.199,443,10.76,DE,FRA,144.46,117.9
62.133.60.155,62.133.60.155,443,10.51,DE,FRA,99.47,104.02
194.59.9.15,194.59.9.15,443,10.45,DE,FRA,103.97,103.96
91.99.148.150,91.99.148.150,443,10.06,DE,FRA,131.72,145.58
94.130.76.53,94.130.76.53,443,9.1,DE,FRA,106.23,116.15
85.192.28.96,85.192.28.96,443,8.49,DE,FRA,95.56,115.46
94.16.113.166,94.16.113.166,8443,8.41,DE,FRA,105.02,117.23
194.59.9.26,194.59.9.26,443,8.11,DE,FRA,98.5,103.69
91.107.158.77,91.107.158.77,443,7.82,DE,FRA,101.91,106.26
49.13.64.206,49.13.64.206,443,7.8,DE,FRA,98.13,113.33
194.59.9.71,194.59.9.71,443,7.13,DE,FRA,94.95,101.85
95.164.123.31,95.164.123.31,2053,7.12,DE,FRA,102.75,111.85
31.77.223.15,31.77.223.15,443,7.09,DE,FRA,95.01,105.74
94.16.113.166,94.16.113.166,443,7.07,DE,HAM,114.68,147.83
95.85.230.15,95.85.230.15,443,6.84,DE,FRA,106.19,110.56
91.107.158.77,91.107.158.77,8443,6.84,DE,FRA,100.06,112.67
46.232.250.99,46.232.250.99,8443,6.79,DE,FRA,105.39,107.03
144.31.62.254,144.31.62.254,443,6.68,DE,FRA,93.51,100.26
103.13.211.83,103.13.211.83,443,6.62,DE,FRA,97.28,132.68
82.21.114.121,82.21.114.121,443,6.6,DE,FRA,97.77,101.5
46.232.250.99,46.232.250.99,443,6.51,DE,FRA,106.6,116.94
185.55.243.113,185.55.243.113,443,6.5,DE,FRA,94.73,108.38
142.132.178.99,142.132.178.99,443,6.47,DE,FRA,109.29,114.33
195.58.38.9,195.58.38.9,443,6.39,DE,FRA,99.11,101.36
152.53.224.139,152.53.224.139,8443,6.13,DE,FRA,92.77,118.67
194.59.9.25,194.59.9.25,443,6.02,DE,FRA,98.8,167.03
31.77.223.15,31.77.223.15,8443,5.91,DE,FRA,94.04,106.5
89.58.15.204,89.58.15.204,443,5.77,DE,FRA,101.84,108.92
194.59.9.7,194.59.9.7,443,5.71,DE,FRA,95.82,108.23
194.180.188.241,194.180.188.241,443,5.68,DE,FRA,108.03,98.95
57.129.47.52,57.129.47.52,8443,5.64,DE,FRA,108.52,136.92
5.180.82.38,5.180.82.38,443,5.61,DE,FRA,102.25,104.09
5.180.82.50,5.180.82.50,443,5.61,DE,FRA,95.92,99.52
78.17.74.211,78.17.74.211,443,5.57,DE,FRA,107.7,109.13
45.43.88.232,45.43.88.232,443,5.42,DE,AMS,91.67,108.99
152.53.138.139,152.53.138.139,443,5.41,DE,FRA,94.1,108.53
95.164.123.31,95.164.123.31,443,5.14,DE,FRA,109.58,111.09
152.53.224.122,152.53.224.122,443,5.14,DE,FRA,100.92,108.31
77.239.98.108,77.239.98.108,443,5.11,DE,FRA,101.38,131.17
5.39.249.167,5.39.249.167,443,5.11,DE,FRA,108.72,106.94
152.53.138.139,152.53.138.139,8443,5.0,DE,FRA,93.14,111.7
152.53.224.122,152.53.224.122,8443,4.98,DE,FRA,101.01,109.37
88.198.82.156,178.63.88.12,443,4.95,DE,FRA,96.28,119.6
46.38.241.239,2a03:4000:7:653:1460:5aff:fe97:3757,443,4.92,DE,FRA,100.34,109.41
13.140.28.207,13.140.28.207,443,4.74,DE,FRA,90.95,104.95
83.219.249.189,83.219.249.189,443,4.73,DE,FRA,120.26,140.53
62.60.216.169,62.60.216.169,443,4.51,DE,FRA,94.94,110.29
94.141.161.126,94.141.161.126,443,4.5,DE,FRA,100.08,122.98
49.12.237.71,49.12.237.71,443,4.49,DE,FRA,103.08,108.43
13.140.28.207,13.140.28.207,8443,4.43,DE,FRA,92.23,103.69
152.53.15.90,152.53.15.90,8443,4.4,DE,HAM,100.53,141.33
89.106.78.217,89.106.78.217,443,4.31,DE,HAM,93.76,98.34
82.21.114.126,82.21.114.126,443,4.22,DE,FRA,91.63,97.92
87.120.92.172,87.120.92.172,443,4.12,DE,FRA,98.41,121.41
194.59.9.14,194.59.9.14,443,4.1,DE,FRA,94.81,99.23
91.107.171.251,2a01:4f8:1c17:c311::1,443,4.03,DE,FRA,102.59,114.43
88.214.26.248,88.214.26.248,443,3.95,DE,FRA,102.36,105.07
194.59.9.21,194.59.9.21,443,3.88,DE,FRA,111.17,101.92
64.188.66.138,64.188.66.138,2053,3.87,DE,FRA,101.34,109.01
89.58.15.204,89.58.15.204,8443,3.71,DE,HAM,99.78,137.28
194.164.234.15,194.164.234.15,443,3.54,DE,FRA,91.99,116.19
85.121.52.186,85.121.52.186,443,3.46,DE,FRA,106.2,121.69
150.241.115.111,150.241.115.111,443,3.39,DE,FRA,99.61,124.85
144.31.73.186,144.31.73.186,443,3.33,DE,FRA,105.92,125.21
89.58.13.46,89.58.13.46,443,3.32,DE,FRA,99.59,120.71
152.53.15.90,152.53.15.90,443,3.32,DE,HAM,97.69,145.4
140.82.34.21,140.82.34.21,443,3.26,DE,FRA,87.84,100.49
64.188.115.82,64.188.115.82,443,3.2,DE,FRA,90.21,98.27
188.245.59.37,188.245.59.37,443,3.18,DE,FRA,101.26,114.64
95.85.237.48,95.85.237.48,443,3.12,DE,FRA,96.82,116.14
57.129.47.52,57.129.47.52,443,3.04,DE,FRA,112.25,155.72
89.19.209.6,89.19.209.6,443,2.99,DE,AMS,104.77,151.43
152.53.146.92,152.53.146.92,443,2.87,DE,FRA,93.88,111.84
194.59.9.27,194.59.9.27,443,2.86,DE,FRA,98.57,171.65
152.53.15.143,152.53.15.143,443,2.86,DE,FRA,98.32,113.22
152.53.143.195,152.53.143.195,8443,2.77,DE,FRA,92.25,108.06
217.61.0.97,217.61.0.97,443,2.76,DE,FRA,90.48,114.52
94.159.104.1,94.159.104.1,443,2.76,DE,FRA,100.84,107.04
94.130.72.184,94.130.72.184,443,2.68,DE,FRA,100.6,114.8
87.106.198.216,87.106.198.216,443,2.64,DE,FRA,103.31,117.57
94.177.231.152,94.177.231.152,443,2.61,DE,FRA,90.85,99.54
152.53.136.238,152.53.136.238,443,2.6,DE,FRA,98.2,129.23
38.180.165.83,38.180.165.83,443,2.52,DE,FRA,91.27,110.93
2.26.17.154,2.26.17.154,443,2.5,DE,FRA,102.81,126.67
194.59.9.28,194.59.9.28,443,2.49,DE,FRA,98.28,101.87
152.53.143.195,152.53.143.195,443,2.49,DE,FRA,92.92,118.58
64.188.66.138,64.188.66.138,443,2.47,DE,FRA,99.72,110.47
92.118.8.192,92.118.8.192,443,2.4,DE,FRA,96.71,111.2
185.172.131.196,185.172.131.196,443,2.39,DE,FRA,94.58,112.96
209.38.240.156,209.38.240.156,443,2.38,DE,FRA,95.83,108.41
109.122.197.198,109.122.197.198,443,2.38,DE,FRA,100.58,121.77
93.185.157.153,93.185.157.153,443,2.3,DE,FRA,96.93,121.44
178.17.48.78,178.17.48.78,443,2.27,DE,FRA,99.3,114.15
64.188.118.69,64.188.118.69,443,2.25,DE,FRA,97.16,129.14
194.59.9.29,194.59.9.29,443,2.15,DE,FRA,105.61,111.57
154.198.12.10,67.220.82.10,443,2.15,DE,FRA,188.41,197.79
5.231.45.40,5.231.45.40,8443,2.14,DE,FRA,92.09,96.38
89.58.13.46,89.58.13.46,8443,2.13,DE,HAM,102.13,159.63
77.110.116.161,77.110.116.161,443,2.11,DE,FRA,94.12,102.34
31.76.0.15,31.76.0.15,443,2.1,DE,FRA,95.33,126.91
152.53.252.11,152.53.252.11,443,2.09,DE,FRA,92.74,103.8
89.58.32.247,89.58.32.247,443,2.09,DE,FRA,103.77,142.36
185.233.81.147,185.233.81.147,443,2.08,DE,FRA,94.39,147.38
185.14.92.80,185.14.92.80,443,2.0,DE,FRA,100.51,111.33
195.54.32.163,195.54.32.163,443,2.0,DE,FRA,105.76,106.38
152.53.15.143,152.53.15.143,8443,1.99,DE,FRA,98.19,123.75
150.241.123.99,150.241.123.99,443,1.98,DE,FRA,91.99,105.99
113.30.190.30,113.30.190.30,443,1.92,DE,FRA,88.97,102.08
179.255.186.11,179.255.186.11,443,1.9,DE,FRA,183.97,192.83
195.133.94.9,195.133.94.9,443,1.87,DE,FRA,97.28,111.34
152.53.142.246,152.53.142.246,443,1.86,DE,FRA,93.56,107.1
88.198.82.147,178.63.88.12,443,1.86,DE,FRA,97.13,117.48
89.34.219.214,89.34.219.214,443,1.85,DE,FRA,97.2,120.37
152.53.15.96,152.53.15.96,8443,1.84,DE,FRA,98.94,126.91
152.53.224.139,152.53.224.139,443,1.83,DE,FRA,92.13,117.93
89.58.45.162,89.58.45.162,8443,1.78,DE,HAM,102.95,135.44
157.230.112.20,157.230.112.20,443,1.7,DE,FRA,106.36,111.19
217.154.163.39,217.154.163.39,443,1.68,DE,TXL,108.77,115.6
195.201.150.4,195.201.150.4,443,1.67,DE,FRA,102.49,107.79
108.165.236.247,108.165.236.247,443,1.67,DE,FRA,100.86,120.44
152.53.14.75,152.53.14.75,443,1.66,DE,FRA,99.54,111.59
185.248.143.139,185.248.143.139,443,1.62,DE,FRA,114.9,96.63
93.95.24.172,142.248.1.69,443,1.62,DE,FRA,193.07,196.87
95.85.236.65,95.85.236.65,443,1.61,DE,FRA,89.51,96.81
192.124.182.154,192.124.182.154,443,1.6,DE,AMS,93.0,118.72
152.53.247.161,152.53.247.161,8443,1.58,DE,FRA,99.46,104.17
5.39.249.170,5.39.249.170,443,1.54,DE,FRA,104.43,107.39
5.231.45.40,5.231.45.40,443,1.54,DE,FRA,92.11,96.3
89.58.45.162,89.58.45.162,443,1.54,DE,FRA,99.02,127.37
152.53.228.252,152.53.228.252,8443,1.53,DE,FRA,101.34,99.37
152.53.136.238,152.53.136.238,8443,1.53,DE,FRA,105.59,143.53
138.3.254.178,138.3.254.178,443,1.53,DE,FRA,92.26,129.14
